character names;puid order;puid_order offset;character order;character order offset;*character;*character offset;category;category offset;class id;class id offset;age;age offset;is_woman;is_woman offset;height;height offset;height_range;height_range offset;body_type;body_type offset;language;language offset;voicer;voicer offset;face_target;face_target offset;tex_skin;tex_skin offset;tex_face1;tex_face1 offset;tex_face2;tex_face2 offset;tex_face3;tex_face3 offset;tex_face4;tex_face4 offset;tex_hair1;tex_hair1 offset;tex_hair2;tex_hair2 offset;tex_tops1;tex_tops1 offset;tex_tops2;tex_tops2 offset;tex_tops3;tex_tops3 offset;tex_tops4;tex_tops4 offset;tex_btms1;tex_btms1 offset;tex_btms2;tex_btms2 offset;tex_btms3;tex_btms3 offset;dedit_category;dedit_category offset;dedit;dedit offset;face;face offset;hair;hair offset;tops;tops offset;btms;btms offset;face_flags;face_flags offset;hair_flags;hair_flags offset;tops_flags;tops_flags offset;btms_flags;btms_flags offset;bag_type;bag_type offset;is_face_correct;is_face_correct offset;is_invalid;is_invalid offset;org_id;org_id offset;is_reuse;is_reuse offset
c_e06_h_cat_06;4410;109412;10;149768;3542;172706;14;175798;40;179162;0;182526;0;185881;185;186324;10;193052;0;199770;0;203134;380;206508;4294967295;213256;0;226678;0;230042;0;233406;0;236770;0;240134;0;243498;0;246862;4;250226;0;253590;0;256954;0;260318;0;263682;0;267046;0;270410;0;273774;0;277148;4294967295;283896;4294967295;297348;244;310800;4294967295;324252;0;337744;0;364648;3145728;391552;0;418456;0;445290;1;448645;0;449069;0;449512;0;456221
c_e06_h_cat_07;4411;109416;11;149772;3543;172708;14;175799;40;179163;0;182527;0;185881;185;186326;10;193054;0;199771;0;203135;381;206510;4294967295;213260;0;226679;0;230043;0;233407;0;236771;0;240135;0;243499;0;246863;5;250227;0;253591;0;256955;0;260319;0;263683;0;267047;0;270411;0;273775;0;277150;4294967295;283900;4294967295;297352;244;310804;4294967295;324256;0;337752;0;364656;3145728;391560;0;418464;0;445291;1;448645;0;449069;0;449514;0;456221
c_e06_h_cat_08;4412;109420;12;149776;3544;172710;14;175800;40;179164;0;182528;0;185881;185;186328;10;193056;0;199772;0;203136;382;206512;4294967295;213264;0;226680;0;230044;0;233408;0;236772;0;240136;0;243500;0;246864;8;250228;0;253592;0;256956;0;260320;0;263684;0;267048;0;270412;0;273776;0;277152;4294967295;283904;4294967295;297356;244;310808;4294967295;324260;0;337760;0;364664;3145728;391568;0;418472;0;445292;1;448645;0;449069;0;449516;0;456221
c_e06_h_cat_09;4413;109424;13;149780;3545;172712;14;175801;40;179165;0;182529;0;185881;185;186330;10;193058;0;199773;0;203137;383;206514;4294967295;213268;0;226681;0;230045;0;233409;0;236773;0;240137;0;243501;0;246865;9;250229;0;253593;0;256957;0;260321;0;263685;0;267049;0;270413;0;273777;0;277154;4294967295;283908;4294967295;297360;244;310812;4294967295;324264;0;337768;0;364672;3145728;391576;0;418480;0;445293;1;448645;0;449069;0;449518;0;456221
c_e06_h_cat_10;4414;109428;14;149784;3546;172714;14;175802;40;179166;0;182530;0;185881;185;186332;10;193060;0;199774;0;203138;384;206516;4294967295;213272;0;226682;0;230046;0;233410;0;236774;0;240138;0;243502;0;246866;10;250230;0;253594;0;256958;0;260322;0;263686;0;267050;0;270414;0;273778;0;277156;4294967295;283912;4294967295;297364;244;310816;4294967295;324268;0;337776;0;364680;3145728;391584;0;418488;0;445294;1;448645;0;449069;0;449520;0;456221
c_e06_mg_cat_01;5378;112680;15;153036;5341;174340;20;175803;40;179167;0;182531;0;185881;195;186334;0;193062;0;199775;0;203139;380;206518;4294967295;213276;0;226683;0;230047;0;233411;0;236775;0;240139;0;243503;0;246867;1;250231;3;253595;0;256959;0;260323;0;263687;0;267051;0;270415;0;273779;0;277158;4294967295;283916;4294967295;297368;244;310820;4294967295;324272;0;337784;0;364688;3145728;391592;0;418496;0;445295;1;448645;0;449069;0;449522;0;456221
c_e06_mg_cat_01_day;5852;114360;16;154716;4305;175180;20;175804;40;179168;0;182532;0;185882;195;186336;0;193064;0;199776;0;203140;380;206520;4294967295;213280;0;226684;0;230048;0;233412;0;236776;0;240140;0;243504;0;246868;1;250232;2;253596;0;256960;0;260324;0;263688;0;267052;0;270416;0;273780;0;277160;4294967295;283920;4294967295;297372;244;310824;4294967295;324276;0;337792;0;364696;3145728;391600;0;418504;0;445296;1;448646;0;449070;0;449524;0;456222
c_e06_mg_cat_02;5379;112684;17;153040;5001;174342;20;175805;40;179169;0;182533;0;185882;185;186338;0;193066;0;199777;0;203141;381;206522;4294967295;213284;0;226685;0;230049;0;233413;0;236777;0;240141;0;243505;0;246869;3;250233;7;253597;0;256961;0;260325;0;263689;0;267053;0;270417;0;273781;0;277162;4294967295;283924;4294967295;297376;244;310828;4294967295;324280;0;337800;0;364704;3145728;391608;0;418512;0;445297;1;448646;0;449070;0;449526;0;456222
c_e06_mg_cat_02_day;5853;114364;18;154720;4306;175182;20;175806;40;179170;0;182534;0;185882;185;186340;0;193068;0;199778;0;203142;381;206524;4294967295;213288;0;226686;0;230050;0;233414;0;236778;0;240142;0;243506;0;246870;3;250234;6;253598;0;256962;0;260326;0;263690;0;267054;0;270418;0;273782;0;277164;4294967295;283928;4294967295;297380;244;310832;4294967295;324284;0;337808;0;364712;3145728;391616;0;418520;0;445298;1;448646;0;449070;0;449528;0;456222
c_e06_mg_cat_03;5380;112688;19;153044;5002;174344;20;175807;40;179171;0;182535;0;185882;185;186342;0;193070;0;199779;0;203143;382;206526;4294967295;213292;0;226687;0;230051;0;233415;0;236779;0;240143;0;243507;0;246871;4;250235;5;253599;0;256963;0;260327;0;263691;0;267055;0;270419;0;273783;0;277166;4294967295;283932;4294967295;297384;244;310836;4294967295;324288;0;337816;0;364720;3145728;391624;0;418528;0;445299;1;448646;0;449070;0;449530;0;456222
c_e06_mg_cat_03_day;5854;114368;20;154724;4307;175184;20;175808;40;179172;0;182536;0;185882;185;186344;0;193072;0;199780;0;203144;382;206528;4294967295;213296;0;226688;0;230052;0;233416;0;236780;0;240144;0;243508;0;246872;4;250236;4;253600;0;256964;0;260328;0;263692;0;267056;0;270420;0;273784;0;277168;4294967295;283936;4294967295;297388;244;310840;4294967295;324292;0;337824;0;364728;3145728;391632;0;418536;0;445300;1;448646;0;449070;0;449532;0;456222
c_e06_mg_cat_04;5381;112692;21;153048;5008;174346;20;175809;40;179173;0;182537;0;185882;185;186346;0;193074;0;199781;0;203145;383;206530;4294967295;213300;0;226689;0;230053;0;233417;0;236781;0;240145;0;243509;0;246873;6;250237;7;253601;0;256965;0;260329;0;263693;0;267057;0;270421;0;273785;0;277170;4294967295;283940;4294967295;297392;244;310844;4294967295;324296;0;337832;0;364736;3145728;391640;0;418544;0;445301;1;448646;0;449070;0;449534;0;456222
c_e06_mg_cat_04_day;5855;114372;22;154728;4308;175186;20;175810;40;179174;0;182538;0;185882;185;186348;0;193076;0;199782;0;203146;383;206532;4294967295;213304;0;226690;0;230054;0;233418;0;236782;0;240146;0;243510;0;246874;6;250238;6;253602;0;256966;0;260330;0;263694;0;267058;0;270422;0;273786;0;277172;4294967295;283944;4294967295;297396;244;310848;4294967295;324300;0;337840;0;364744;3145728;391648;0;418552;0;445302;1;448646;0;449070;0;449536;0;456222
c_e06_mg_cat_05;5382;112696;23;153052;5294;174348;20;175811;40;179175;0;182539;0;185882;185;186350;0;193078;0;199783;0;203147;384;206534;4294967295;213308;0;226691;0;230055;0;233419;0;236783;0;240147;0;243511;0;246875;8;250239;3;253603;0;256967;0;260331;0;263695;0;267059;0;270423;0;273787;0;277174;4294967295;283948;4294967295;297400;244;310852;4294967295;324304;0;337848;0;364752;3145728;391656;0;418560;0;445303;1;448646;0;449070;0;449538;0;456222
c_e06_mg_cat_05_day;5856;114376;24;154732;4309;175188;20;175812;40;179176;0;182540;0;185883;185;186352;0;193080;0;199784;0;203148;384;206536;4294967295;213312;0;226692;0;230056;0;233420;0;236784;0;240148;0;243512;0;246876;8;250240;2;253604;0;256968;0;260332;0;263696;0;267060;0;270424;0;273788;0;277176;4294967295;283952;4294967295;297404;244;310856;4294967295;324308;0;337856;0;364760;3145728;391664;0;418568;0;445304;1;448647;0;449071;0;449540;0;456223
c_e06_mg_cat_06;5383;112700;25;153056;5308;174350;20;175813;40;179177;0;182541;0;185883;185;186354;0;193082;0;199785;0;203149;380;206538;4294967295;213316;0;226693;0;230057;0;233421;0;236785;0;240149;0;243513;0;246877;10;250241;9;253605;0;256969;0;260333;0;263697;0;267061;0;270425;0;273789;0;277178;4294967295;283956;4294967295;297408;244;310860;4294967295;324312;0;337864;0;364768;3145728;391672;0;418576;0;445305;1;448647;0;449071;0;449542;0;456223
c_e06_mg_cat_06_day;5857;114380;26;154736;4310;175190;20;175814;40;179178;0;182542;0;185883;185;186356;0;193084;0;199786;0;203150;380;206540;4294967295;213320;0;226694;0;230058;0;233422;0;236786;0;240150;0;243514;0;246878;10;250242;8;253606;0;256970;0;260334;0;263698;0;267062;0;270426;0;273790;0;277180;4294967295;283960;4294967295;297412;244;310864;4294967295;324316;0;337872;0;364776;3145728;391680;0;418584;0;445306;1;448647;0;449071;0;449544;0;456223
c_e06_mg_cat_07;5384;112704;27;153060;5309;174352;20;175815;40;179179;0;182543;0;185883;185;186358;0;193086;0;199787;0;203151;381;206542;4294967295;213324;0;226695;0;230059;0;233423;0;236787;0;240151;0;243515;0;246879;12;250243;9;253607;0;256971;0;260335;0;263699;0;267063;0;270427;0;273791;0;277182;4294967295;283964;4294967295;297416;244;310868;4294967295;324320;0;337880;0;364784;3145728;391688;0;418592;0;445307;1;448647;0;449071;0;449546;0;456223
c_e06_mg_cat_07_day;5858;114384;28;154740;4311;175192;20;175816;40;179180;0;182544;0;185883;185;186360;0;193088;0;199788;0;203152;381;206544;4294967295;213328;0;226696;0;230060;0;233424;0;236788;0;240152;0;243516;0;246880;12;250244;8;253608;0;256972;0;260336;0;263700;0;267064;0;270428;0;273792;0;277184;4294967295;283968;4294967295;297420;244;310872;4294967295;324324;0;337888;0;364792;3145728;391696;0;418600;0;445308;1;448647;0;449071;0;449548;0;456223
c_e06_mg_cat_08;5385;112708;29;153064;5342;174354;20;175817;40;179181;0;182545;0;185883;185;186362;0;193090;0;199789;0;203153;382;206546;4294967295;213332;0;226697;0;230061;0;233425;0;236789;0;240153;0;243517;0;246881;14;250245;5;253609;0;256973;0;260337;0;263701;0;267065;0;270429;0;273793;0;277186;4294967295;283972;4294967295;297424;244;310876;4294967295;324328;0;337896;0;364800;3145728;391704;0;418608;0;445309;1;448647;0;449071;0;449550;0;456223
c_e06_mg_cat_08_day;5859;114388;30;154744;4312;175194;20;175818;40;179182;0;182546;0;185883;185;186364;0;193092;0;199790;0;203154;382;206548;4294967295;213336;0;226698;0;230062;0;233426;0;236790;0;240154;0;243518;0;246882;14;250246;4;253610;0;256974;0;260338;0;263702;0;267066;0;270430;0;273794;0;277188;4294967295;283976;4294967295;297428;244;310880;4294967295;324332;0;337904;0;364808;3145728;391712;0;418616;0;445310;1;448647;0;449071;0;449552;0;456223
c_e06_mg_cat_09;5386;112712;31;153068;5343;174356;20;175819;40;179183;0;182547;0;185883;185;186366;0;193094;0;199791;0;203155;383;206550;4294967295;213340;0;226699;0;230063;0;233427;0;236791;0;240155;0;243519;0;246883;16;250247;3;253611;0;256975;0;260339;0;263703;0;267067;0;270431;0;273795;0;277190;4294967295;283980;4294967295;297432;244;310884;4294967295;324336;0;337912;0;364816;3145728;391720;0;418624;0;445311;1;448647;0;449071;0;449554;0;456223
c_e06_mg_cat_09_day;5860;114392;32;154748;4313;175196;20;175820;40;179184;0;182548;0;185884;185;186368;0;193096;0;199792;0;203156;383;206552;4294967295;213344;0;226700;0;230064;0;233428;0;236792;0;240156;0;243520;0;246884;16;250248;2;253612;0;256976;0;260340;0;263704;0;267068;0;270432;0;273796;0;277192;4294967295;283984;4294967295;297436;244;310888;4294967295;324340;0;337920;0;364824;3145728;391728;0;418632;0;445312;1;448648;0;449072;0;449556;0;456224
c_e06_mg_cat_10;5387;112716;33;153072;5344;174358;20;175821;40;179185;0;182549;0;185884;175;186370;0;193098;0;199793;0;203157;384;206554;4294967295;213348;0;226701;0;230065;0;233429;0;236793;0;240157;0;243521;0;246885;18;250249;5;253613;0;256977;0;260341;0;263705;0;267069;0;270433;0;273797;0;277194;4294967295;283988;4294967295;297440;245;310892;4294967295;324344;0;337928;0;364832;3145728;391736;0;418640;0;445313;1;448648;0;449072;0;449558;0;456224
c_e06_mg_cat_10_day;5861;114396;34;154752;4314;175198;20;175822;40;179186;0;182550;0;185884;175;186372;0;193100;0;199794;0;203158;384;206556;4294967295;213352;0;226702;0;230066;0;233430;0;236794;0;240158;0;243522;0;246886;18;250250;4;253614;0;256978;0;260342;0;263706;0;267070;0;270434;0;273798;0;277196;4294967295;283992;4294967295;297444;245;310896;4294967295;324348;0;337936;0;364840;3145728;391744;0;418648;0;445314;1;448648;0;449072;0;449560;0;456224
c_e06_mg_cat_11;5555;113380;35;153736;3322;174690;20;175823;40;179187;0;182551;0;185884;185;186374;0;193102;0;199795;0;203159;380;206558;4294967295;213356;0;226703;0;230067;0;233431;0;236795;0;240159;0;243523;0;246887;5;250251;3;253615;0;256979;0;260343;0;263707;0;267071;0;270435;0;273799;0;277198;4294967295;283996;4294967295;297448;244;310900;4294967295;324352;0;337944;0;364848;3145728;391752;0;418656;0;445315;1;448648;0;449072;0;449562;0;456224
c_e06_mg_cat_11_day;5862;114400;36;154756;4315;175200;20;175824;40;179188;0;182552;0;185884;185;186376;0;193104;0;199796;0;203160;380;206560;4294967295;213360;0;226704;0;230068;0;233432;0;236796;0;240160;0;243524;0;246888;5;250252;2;253616;0;256980;0;260344;0;263708;0;267072;0;270436;0;273800;0;277200;4294967295;284000;4294967295;297452;244;310904;4294967295;324356;0;337952;0;364856;3145728;391760;0;418664;0;445316;1;448648;0;449072;0;449564;0;456224
c_e06_mg_cat_12;5556;113384;37;153740;3323;174692;20;175825;40;179189;0;182553;0;185884;185;186378;0;193106;0;199797;0;203161;381;206562;4294967295;213364;0;226705;0;230069;0;233433;0;236797;0;240161;0;243525;0;246889;9;250253;3;253617;0;256981;0;260345;0;263709;0;267073;0;270437;0;273801;0;277202;4294967295;284004;4294967295;297456;244;310908;4294967295;324360;0;337960;0;364864;3145728;391768;0;418672;0;445317;1;448648;0;449072;0;449566;0;456224
c_e06_mg_cat_12_day;5863;114404;38;154760;4316;175202;20;175826;40;179190;0;182554;0;185884;185;186380;0;193108;0;199798;0;203162;381;206564;4294967295;213368;0;226706;0;230070;0;233434;0;236798;0;240162;0;243526;0;246890;9;250254;2;253618;0;256982;0;260346;0;263710;0;267074;0;270438;0;273802;0;277204;4294967295;284008;4294967295;297460;244;310912;4294967295;324364;0;337968;0;364872;3145728;391776;0;418680;0;445318;1;448648;0;449072;0;449568;0;456224
c_e06_mg_cat_13;5557;113388;39;153744;3324;174694;20;175827;40;179191;0;182555;0;185884;185;186382;0;193110;0;199799;0;203163;382;206566;4294967295;213372;0;226707;0;230071;0;233435;0;236799;0;240163;0;243527;0;246891;13;250255;9;253619;0;256983;0;260347;0;263711;0;267075;0;270439;0;273803;0;277206;4294967295;284012;4294967295;297464;244;310916;4294967295;324368;0;337976;0;364880;3145728;391784;0;418688;0;445319;1;448648;0;449072;0;449570;0;456224
c_e06_mg_cat_13_day;5864;114408;40;154764;4317;175204;20;175828;40;179192;0;182556;0;185885;185;186384;0;193112;0;199800;0;203164;382;206568;4294967295;213376;0;226708;0;230072;0;233436;0;236800;0;240164;0;243528;0;246892;13;250256;8;253620;0;256984;0;260348;0;263712;0;267076;0;270440;0;273804;0;277208;4294967295;284016;4294967295;297468;244;310920;4294967295;324372;0;337984;0;364888;3145728;391792;0;418696;0;445320;1;448649;0;449073;0;449572;0;456225
c_e06_mg_cat_14;5558;113392;41;153748;3325;174696;20;175829;40;179193;0;182557;0;185885;175;186386;0;193114;0;199801;0;203165;383;206570;4294967295;213380;0;226709;0;230073;0;233437;0;236801;0;240165;0;243529;0;246893;19;250257;3;253621;0;256985;0;260349;0;263713;0;267077;0;270441;0;273805;0;277210;4294967295;284020;4294967295;297472;245;310924;4294967295;324376;0;337992;0;364896;3145728;391800;0;418704;0;445321;1;448649;0;449073;0;449574;0;456225
c_e06_mg_cat_14_day;5865;114412;42;154768;4318;175206;20;175830;40;179194;0;182558;0;185885;175;186388;0;193116;0;199802;0;203166;383;206572;4294967295;213384;0;226710;0;230074;0;233438;0;236802;0;240166;0;243530;0;246894;19;250258;2;253622;0;256986;0;260350;0;263714;0;267078;0;270442;0;273806;0;277212;4294967295;284024;4294967295;297476;245;310928;4294967295;324380;0;338000;0;364904;3145728;391808;0;418712;0;445322;1;448649;0;449073;0;449576;0;456225
c_e06_mg_cat_15;5842;114332;43;154688;4298;175166;20;175831;40;179195;0;182559;0;185885;185;186390;0;193118;0;199803;0;203167;383;206574;4294967295;213388;0;226711;0;230075;0;233439;0;236803;0;240167;0;243531;0;246895;2;250259;3;253623;0;256987;0;260351;0;263715;0;267079;0;270443;0;273807;0;277214;4294967295;284028;4294967295;297480;245;310932;4294967295;324384;0;338008;0;364912;3145728;391816;0;418720;0;445323;1;448649;0;449073;0;449578;0;456225
c_e06_mg_cat_15_day;5866;114416;44;154772;4319;175208;20;175832;40;179196;0;182560;0;185885;185;186392;0;193120;0;199804;0;203168;383;206576;4294967295;213392;0;226712;0;230076;0;233440;0;236804;0;240168;0;243532;0;246896;2;250260;2;253624;0;256988;0;260352;0;263716;0;267080;0;270444;0;273808;0;277216;4294967295;284032;4294967295;297484;245;310936;4294967295;324388;0;338016;0;364920;3145728;391824;0;418728;0;445324;1;448649;0;449073;0;449580;0;456225
c_e06_mg_cat_16;5843;114336;45;154692;4299;175168;20;175833;40;179197;0;182561;0;185885;175;186394;0;193122;0;199805;0;203169;383;206578;4294967295;213396;0;226713;0;230077;0;233441;0;236805;0;240169;0;243533;0;246897;7;250261;9;253625;0;256989;0;260353;0;263717;0;267081;0;270445;0;273809;0;277218;4294967295;284036;4294967295;297488;244;310940;4294967295;324392;0;338024;0;364928;3145728;391832;0;418736;0;445325;1;448649;0;449073;0;449582;0;456225
c_e06_mg_cat_16_day;5867;114420;46;154776;4320;175210;20;175834;40;179198;0;182562;0;185885;175;186396;0;193124;0;199806;0;203170;383;206580;4294967295;213400;0;226714;0;230078;0;233442;0;236806;0;240170;0;243534;0;246898;7;250262;8;253626;0;256990;0;260354;0;263718;0;267082;0;270446;0;273810;0;277220;4294967295;284040;4294967295;297492;244;310944;4294967295;324396;0;338032;0;364936;3145728;391840;0;418744;0;445326;1;448649;0;449073;0;449584;0;456225
c_e06_mg_cat_17;5844;114340;47;154696;4300;175170;20;175835;40;179199;0;182563;0;185885;185;186398;0;193126;0;199807;0;203171;383;206582;4294967295;213404;0;226715;0;230079;0;233443;0;236807;0;240171;0;243535;0;246899;11;250263;7;253627;0;256991;0;260355;0;263719;0;267083;0;270447;0;273811;0;277222;4294967295;284044;4294967295;297496;245;310948;4294967295;324400;0;338040;0;364944;3145728;391848;0;418752;0;445327;1;448649;0;449073;0;449586;0;456225
c_e06_mg_cat_17_day;5868;114424;48;154780;4321;175212;20;175836;40;179200;0;182564;0;185886;185;186400;0;193128;0;199808;0;203172;383;206584;4294967295;213408;0;226716;0;230080;0;233444;0;236808;0;240172;0;243536;0;246900;11;250264;6;253628;0;256992;0;260356;0;263720;0;267084;0;270448;0;273812;0;277224;4294967295;284048;4294967295;297500;245;310952;4294967295;324404;0;338048;0;364952;3145728;391856;0;418760;0;445328;1;448650;0;449074;0;449588;0;456226
c_e06_mg_cat_18;5845;114344;49;154700;4301;175172;20;175837;40;179201;0;182565;0;185886;175;186402;0;193130;0;199809;0;203173;383;206586;4294967295;213412;0;226717;0;230081;0;233445;0;236809;0;240173;0;243537;0;246901;15;250265;3;253629;0;256993;0;260357;0;263721;0;267085;0;270449;0;273813;0;277226;4294967295;284052;4294967295;297504;244;310956;4294967295;324408;0;338056;0;364960;3145728;391864;0;418768;0;445329;1;448650;0;449074;0;449590;0;456226
c_e06_mg_cat_18_day;5869;114428;50;154784;4322;175214;20;175838;40;179202;0;182566;0;185886;175;186404;0;193132;0;199810;0;203174;383;206588;4294967295;213416;0;226718;0;230082;0;233446;0;236810;0;240174;0;243538;0;246902;15;250266;2;253630;0;256994;0;260358;0;263722;0;267086;0;270450;0;273814;0;277228;4294967295;284056;4294967295;297508;244;310960;4294967295;324412;0;338064;0;364968;3145728;391872;0;418776;0;445330;1;448650;0;449074;0;449592;0;456226
c_e06_mg_cat_19;5846;114348;51;154704;4302;175174;20;175839;40;179203;0;182567;0;185886;185;186406;0;193134;0;199811;0;203175;383;206590;4294967295;213420;0;226719;0;230083;0;233447;0;236811;0;240175;0;243539;0;246903;17;250267;1;253631;0;256995;0;260359;0;263723;0;267087;0;270451;0;273815;0;277230;4294967295;284060;4294967295;297512;244;310964;4294967295;324416;0;338072;0;364976;3145728;391880;0;418784;0;445331;1;448650;0;449074;0;449594;0;456226
c_e06_mg_cat_19_day;5870;114432;52;154788;4323;175216;20;175840;40;179204;0;182568;0;185886;185;186408;0;193136;0;199812;0;203176;383;206592;4294967295;213424;0;226720;0;230084;0;233448;0;236812;0;240176;0;243540;0;246904;17;250268;0;253632;0;256996;0;260360;0;263724;0;267088;0;270452;0;273816;0;277232;4294967295;284064;4294967295;297516;244;310968;4294967295;324420;0;338080;0;364984;3145728;391888;0;418792;0;445332;1;448650;0;449074;0;449596;0;456226
c_e06_mg_cat_20;5848;114356;53;154712;4304;175178;20;175841;40;179205;0;182569;0;185886;185;186410;0;193138;0;199813;0;203177;383;206594;4294967295;213428;0;226721;0;230085;0;233449;0;236813;0;240177;0;243541;0;246905;20;250269;1;253633;0;256997;0;260361;0;263725;0;267089;0;270453;0;273817;0;277234;4294967295;284068;4294967295;297520;245;310972;4294967295;324424;0;338088;0;364992;3145728;391896;0;418800;0;445333;1;448650;0;449074;0;449598;0;456226
