character names;puid order;puid_order offset;character order;character order offset;*model;*model offset;is_reuse;is_reuse offset;category;category offset;class id;class id offset;age;age offset;is_woman;is_woman offset;is_face_correct;is_face_correct offset;height;height offset;height_range;height_range offset;body_type;body_type offset;language;language offset;bag_type;bag_type offset;tex_skin;tex_skin offset;tex_face1;tex_face1 offset;tex_face2;tex_face2 offset;tex_face3;tex_face3 offset;tex_face4;tex_face4 offset;tex_hair1;tex_hair1 offset;tex_hair2;tex_hair2 offset;tex_tops1;tex_tops1 offset;tex_tops2;tex_tops2 offset;tex_tops3;tex_tops3 offset;tex_tops4;tex_tops4 offset;tex_btms1;tex_btms1 offset;tex_btms2;tex_btms2 offset;tex_btms3;tex_btms3 offset;dedit_category;dedit_category offset;dedit;dedit offset;face;face offset;hair;hair offset;tops;tops offset;btms;btms offset;face_flags;face_flags offset;hair_flags;hair_flags offset;tops_flags;tops_flags offset;btms_flags;btms_flags offset;cloth_physics;cloth_physics offset;shoes_kind;shoes_kind offset;auto_wrinke_scale;auto_wrinkle_scale offset
c_ea_C01_dai_chinpira10;4650;68903;37;104148;7090;129208;1;133972;49;134373;11;137317;6;140261;0;143172;1;143540;175;143978;0;149858;2;155701;2;158645;0;161589;0;164533;0;167477;0;170421;2;173365;0;176309;0;179253;0;182197;14;185141;8;188085;0;191029;0;193973;14;196917;0;199861;0;202805;5;205749;197;208730;21;214684;209;226436;249;238188;638;249940;137216;261840;0;285336;5242880;308832;25769803776;332328;0;355532;1;355933;1.0;358988
c_ea_C01_dai_chinpira11;4651;68907;38;104152;7091;129210;1;133972;49;134374;11;137318;6;140262;0;143172;1;143540;175;143980;0;149860;2;155702;2;158646;0;161590;0;164534;0;167478;0;170422;0;173366;0;176310;0;179254;0;182198;29;185142;10;188086;0;191030;0;193974;29;196918;2;199862;0;202806;3;205750;129;208732;17;214688;213;226440;250;238192;638;249944;22528;261848;2;285344;9437184;308840;42949672960;332336;0;355532;1;355934;1.0;358992
c_ea_C01_dai_chinpira12;4652;68911;39;104156;7092;129212;1;133972;49;134375;11;137319;6;140263;0;143172;1;143540;175;143982;0;149862;2;155703;2;158647;0;161591;0;164535;0;167479;0;170423;0;173367;0;176311;0;179255;0;182199;1;185143;1;188087;0;191031;0;193975;22;196919;0;199863;0;202807;20;205751;811;208734;22;214692;213;226444;241;238196;638;249948;137216;261856;2;285352;70254592;308848;25769803776;332344;0;355532;1;355935;1.0;358996
c_ea_C01_dai_chinpira13;4653;68915;40;104160;7093;129214;1;133973;49;134376;11;137320;6;140264;0;143173;1;143541;175;143984;0;149864;2;155704;2;158648;0;161592;0;164536;0;167480;0;170424;2;173368;0;176312;0;179256;0;182200;0;185144;4;188088;0;191032;0;193976;1;196920;2;199864;0;202808;1;205752;8;208736;23;214696;214;226448;251;238200;650;249952;38912;261864;0;285360;139460608;308856;25769803776;332352;0;355533;1;355936;1.0;359000
c_ea_C01_handa;4654;68919;41;104164;7094;129216;1;133973;49;134377;22;137321;6;140265;0;143173;1;143541;175;143986;0;149866;2;155705;2;158649;0;161593;0;164537;0;167481;0;170425;0;173369;0;176313;4;179257;0;182201;2;185145;0;188089;0;191033;0;193977;1;196921;0;199865;0;202809;3;205753;124;208738;24;214700;209;226452;252;238204;638;249956;6144;261872;8;285368;70254592;308864;25769803776;332360;0;355533;1;355937;1.0;359004
c_ea_C02_chinpira01;4655;68923;42;104168;7095;129218;1;133973;49;134378;11;137322;6;140266;0;143173;1;143541;175;143988;0;149868;2;155706;2;158650;0;161594;0;164538;0;167482;0;170426;5;173370;0;176314;0;179258;0;182202;0;185146;11;188090;0;191034;0;193978;0;196922;0;199866;0;202810;10;205754;448;208740;12;214704;209;226456;247;238208;645;249960;55296;261880;0;285376;5242880;308872;163208757248;332368;0;355533;2;355938;1.0;359008
c_ea_C04_mj_janka;4656;68927;43;104172;7096;129220;1;133973;49;134379;22;137323;6;140267;0;143173;1;143541;170;143990;0;149870;2;155707;2;158651;0;161595;0;164539;0;167483;0;170427;0;173371;0;176315;0;179259;4;182203;0;185147;0;188091;0;191035;0;193979;1;196923;2;199867;0;202811;1;205755;22;208742;25;214708;215;226460;253;238212;638;249964;38912;261888;1026;285384;3145728;308880;25769803776;332376;0;355533;1;355939;1.0;359012
c_ea_C04_mj_man;6610;75363;44;110608;6500;132438;1;133973;49;134380;22;137324;6;140268;0;143173;1;143541;175;143992;0;149872;2;155708;2;158652;0;161596;0;164540;0;167484;0;170428;0;173372;0;176316;0;179260;0;182204;1;185148;0;188092;0;191036;0;193980;0;196924;4;199868;0;202812;1;205756;58;208744;26;214712;213;226464;246;238216;645;249968;137216;261896;4;285392;70254592;308888;42949672960;332384;0;355533;2;355940;1.0;359016
c_ea_C04_mj_monban;4657;68931;45;104176;7097;129222;1;133973;49;134381;22;137325;6;140269;0;143173;1;143541;175;143994;0;149874;2;155709;2;158653;0;161597;0;164541;0;167485;0;170429;0;173373;0;176317;0;179261;0;182205;1;185149;6;188093;0;191037;0;193981;5;196925;4;199869;0;202813;1;205757;18;208746;27;214716;213;226468;248;238220;638;249972;137216;261904;4;285400;70254592;308896;42949672960;332392;0;355533;1;355941;1.0;359020
c_ea_C04_redman;4658;68935;46;104180;7098;129224;1;133973;49;134382;22;137326;6;140270;0;143173;1;143541;175;143996;0;149876;2;155710;2;158654;0;161598;0;164542;0;167486;0;170430;0;173374;0;176318;0;179262;0;182206;0;185150;5;188094;0;191038;0;193982;21;196926;1;199870;0;202814;20;205758;779;208748;18;214720;213;226472;254;238224;638;249976;169984;261912;8;285408;70254592;308904;77309411328;332400;0;355533;1;355942;1.0;359024
c_ea_C04_yakuza01;4659;68939;47;104184;7099;129226;1;133973;49;134383;2;137327;6;140271;0;143173;1;143541;180;143998;0;149878;2;155711;2;158655;0;161599;0;164543;0;167487;0;170431;0;173375;0;176319;0;179263;0;182207;17;185151;15;188095;12;191039;4;193983;17;196927;0;199871;0;202815;18;205759;749;208750;19;214724;213;226476;255;238228;638;249980;137216;261920;4;285416;5242880;308912;77309411328;332408;0;355533;1;355943;1.0;359028
c_ea_C04_yakuza02;4660;68943;48;104188;7100;129228;1;133974;49;134384;2;137328;6;140272;0;143174;1;143542;175;144000;0;149880;2;155712;2;158656;0;161600;0;164544;0;167488;0;170432;0;173376;0;176320;0;179264;0;182208;29;185152;17;188096;13;191040;1;193984;29;196928;1;199872;0;202816;18;205760;753;208752;22;214728;213;226480;256;238232;638;249984;137216;261928;2;285424;139460608;308920;25769803776;332416;0;355534;1;355944;1.0;359032
c_ea_C04_yakuza03;4661;68947;49;104192;7101;129230;1;133974;49;134385;2;137329;6;140273;0;143174;1;143542;180;144002;0;149882;2;155713;2;158657;0;161601;0;164545;0;167489;0;170433;2;173377;0;176321;3;179265;0;182209;12;185153;11;188097;5;191041;4;193985;12;196929;2;199873;0;202817;18;205761;743;208754;28;214732;213;226484;242;238236;638;249988;137216;261936;0;285432;5242880;308928;42949672960;332424;0;355534;1;355945;1.0;359036
c_ea_C04_yakuza04;4662;68951;50;104196;7102;129232;1;133974;49;134386;2;137330;6;140274;0;143174;1;143542;180;144004;0;149884;2;155714;2;158658;0;161602;0;164546;0;167490;0;170434;0;173378;0;176322;0;179266;0;182210;7;185154;14;188098;1;191042;1;193986;7;196930;0;199874;0;202818;22;205762;888;208756;29;214736;213;226488;255;238240;638;249992;137216;261944;8;285440;139460608;308936;77309411328;332432;0;355534;1;355946;1.0;359040
c_ea_C04_yakuza05;4663;68955;51;104200;7103;129234;1;133974;49;134387;2;137331;6;140275;0;143174;1;143542;180;144006;0;149886;2;155715;2;158659;0;161603;0;164547;0;167491;0;170435;0;173379;0;176323;0;179267;0;182211;12;185155;12;188099;2;191043;4;193987;12;196931;1;199875;0;202819;22;205763;886;208758;20;214740;213;226492;256;238244;638;249996;6144;261952;4;285448;5242880;308944;25769803776;332440;0;355534;1;355947;1.0;359044
c_ea_C05_sikaku;4664;68959;52;104204;7104;129236;1;133974;49;134388;22;137332;6;140276;0;143174;1;143542;175;144008;0;149888;2;155716;2;158660;0;161604;0;164548;0;167492;0;170436;0;173380;0;176324;0;179268;0;182212;0;185156;1;188100;2;191044;0;193988;1;196932;0;199876;0;202820;1;205764;21;208760;17;214744;215;226496;253;238248;638;250000;14336;261960;4398046511108;285456;7340032;308952;25769803776;332448;0;355534;1;355948;1.0;359048
c_ea_C05_tojo01;4665;68963;53;104208;7105;129238;1;133974;49;134389;22;137333;6;140277;0;143174;1;143542;175;144010;0;149890;2;155717;2;158661;0;161605;0;164549;0;167493;0;170437;0;173381;0;176325;0;179269;0;182213;4;185157;6;188101;6;191045;0;193989;4;196933;0;199877;0;202821;12;205765;481;208762;8;214748;213;226500;242;238252;638;250004;38912;261968;2;285464;2217738240;308960;25769803776;332456;0;355534;1;355949;1.0;359052
c_ea_C05_tojo02;4666;68967;54;104212;7106;129240;1;133974;49;134390;22;137334;6;140278;0;143174;1;143542;175;144012;0;149892;2;155718;2;158662;0;161606;0;164550;0;167494;0;170438;0;173382;0;176326;0;179270;0;182214;1;185158;4;188102;0;191046;0;193990;1;196934;1;199878;0;202822;12;205766;493;208764;14;214752;213;226504;249;238256;638;250008;137216;261976;4;285472;2217738240;308968;42949672960;332464;0;355534;1;355950;1.0;359056
c_ea_C06_16bit_01;4667;68971;55;104216;7107;129242;1;133974;49;134391;35;137335;5;140279;0;143174;1;143542;175;144014;0;149894;2;155719;2;158663;0;161607;0;164551;0;167495;0;170439;0;173383;0;176327;5;179271;3;182215;2;185159;0;188103;0;191047;0;193991;1;196935;4;199879;0;202823;26;205767;1092;208766;4;214756;212;226508;240;238260;651;250012;22528;261984;4398046511108;285480;70254592;308976;180388626432;332472;0;355534;2;355951;1.0;359060
